timestamp,paquetes_por_segundo,dispositivos_mac
0,142,22
1000,147,16
2000,173,19
3000,175,18
4000,175,21
5000,176,21
6000,141,15
7000,155,23
8000,150,23
9000,151,23
10762,142,22
10792,147,16
11797,173,19
12802,175,18
13792,175,21
14797,176,21
15802,141,15
16807,155,23
17812,126,19
18817,131,15
19822,139,21
20827,128,23
21832,138,20
22837,170,19
23827,146,17
24832,139,24
25837,137,23
26842,164,22
27847,138,21
28852,174,19
29857,135,24
30862,150,23
31867,122,18
32872,144,17
33862,135,19
34867,136,21
35872,137,17
36877,171,18
37882,160,19
38887,158,15
39892,143,16
40897,154,15
41902,139,23
42907,177,15
43897,149,18
44902,163,20
45907,153,23
46912,157,22
47917,174,17
48922,149,21
49927,162,17
50932,174,24
51937,128,16
52942,144,16
53947,130,15
54937,130,18
55942,159,24
56947,171,15
57952,168,24
58957,165,20
59962,164,17
60967,164,18
61972,152,21
62977,141,18
63982,128,18
64987,144,20
65977,174,23
66982,142,19
67987,123,15
68992,169,19
69997,142,16
71002,163,15
72007,121,15
73012,127,18
74017,144,15
75022,120,16
76012,158,15
77017,147,21
78022,168,18
79027,149,24
80032,155,18
81037,131,15
82042,127,17
83047,133,18
84052,167,16
85057,134,22
86047,176,18
87052,147,17
88057,145,23
89062,164,19
90067,152,24
91072,128,21
92077,135,24
93082,148,19
94087,123,20
95092,130,24
96097,124,15
97087,155,21
98092,165,17
99097,149,15
100102,126,23
101107,126,21
102112,176,21
103117,154,18
104122,130,15
105127,121,16
106132,163,24
107122,179,17
108127,149,17
109132,136,20
110137,147,17
111142,171,18
112147,138,23
113152,146,15
114157,163,21
115162,124,17
116167,164,18
117157,136,15
118162,121,22
119167,164,24
120172,141,19
121177,121,20
122182,127,20
123187,133,16
124192,130,17
125197,128,22
126202,163,19
127207,140,15
128197,169,16
129202,140,16
130207,135,22
131212,162,22
132217,173,23
133222,151,18
134227,131,21
135232,156,17
136237,155,17
137242,178,21
138232,179,19
139237,139,22
140242,158,18
141247,157,23
142252,153,18
143257,127,22
144262,170,18
145267,121,17
146272,173,16
147277,121,24
148282,175,18
149272,142,16
150277,131,22
151282,173,15
152287,177,20
153292,162,19
154297,168,15
155302,139,20
156307,155,24
157312,134,20
158317,143,17
159307,120,22
160312,123,20
161317,145,19
162322,136,22
163327,172,16
164332,172,18
165337,173,16
166342,150,22
167347,134,16
168352,174,24
169342,124,24
170347,128,17
171352,133,20
172357,163,19
173362,122,17
174367,170,16
175372,157,22
176377,141,20
177382,125,18
178387,179,20
179392,136,16
180382,143,20
181387,153,17
182392,154,20
183397,148,23
184402,122,23
185407,127,16
186412,126,20
187417,138,20
188422,179,21
189427,148,20
190417,151,24
191422,139,22
192427,128,21
193432,143,15
194437,147,18
195442,141,21
196447,122,24
197452,143,20
198457,140,23
199462,171,21
200452,140,18
201457,133,22
202462,152,19
203467,168,15
204472,151,20
205477,144,23
206482,175,18
207487,169,19
208492,126,18
209497,147,17
210502,178,15
211492,122,16
212497,120,23
213502,139,18
214507,156,20
215512,169,20
216517,144,23
217522,177,24
218527,158,20
